00001.jpg,no_cars
00002.jpg,On
00003.jpg,Off
00004.jpg,Off
00005.jpg,Off
00006.jpg,no_cars
00007.jpg,no_cars
00008.jpg,Off
00009.jpg,Off
00010.jpg,Off
00011.jpg,Off
00012.jpg,On
00013.jpg,Off
00014.jpg,Off
00015.jpg,no_cars
00016.jpg,Off
00017.jpg,On
00018.jpg,Off
00019.jpg,no_cars
00020.jpg,no_cars
00021.jpg,no_cars
00022.jpg,Off
00023.jpg,Off
00024.jpg,no_cars
00025.jpg,no_cars
00026.jpg,Off
00027.jpg,Off
00028.jpg,On
00029.jpg,no_cars
00030.jpg,no_cars
00031.jpg,On
00032.jpg,On
00033.jpg,Off
00034.jpg,no_cars
00035.jpg,no_cars
00036.jpg,Off
00037.jpg,Off
00038.jpg,no_cars
00039.jpg,no_cars
00040.jpg,Off
00041.jpg,Off
00042.jpg,On
00043.jpg,On
00044.jpg,Off
00045.jpg,On
00046.jpg,no_cars
00047.jpg,Off
00048.jpg,no_cars
00049.jpg,Off
00050.jpg,Off
00051.jpg,Off
00052.jpg,On
00053.jpg,On
00054.jpg,On
00055.jpg,On
00056.jpg,On
00057.jpg,On
00058.jpg,Off
00059.jpg,no_cars
00060.jpg,no_cars
00061.jpg,Off
00062.jpg,On
00063.jpg,no_cars
00064.jpg,no_cars
00065.jpg,Off
00066.jpg,no_cars
00067.jpg,no_cars
00068.jpg,On
00069.jpg,Off
00070.jpg,On
00071.jpg,Off
00072.jpg,On
00073.jpg,Off
00074.jpg,no_cars
00075.jpg,On
00076.jpg,Off
00077.jpg,no_cars
00078.jpg,On
00079.jpg,On
00080.jpg,Off
00081.jpg,no_cars
00082.jpg,On
00083.jpg,no_cars
00084.jpg,Off
00085.jpg,no_cars
00086.jpg,Off
00087.jpg,no_cars
00088.jpg,On
00089.jpg,Off
00090.jpg,On
00091.jpg,Off
00092.jpg,no_cars
00093.jpg,no_cars
00094.jpg,On
00095.jpg,On
00096.jpg,no_cars
00097.jpg,no_cars
00098.jpg,Off
00099.jpg,Off
00100.jpg,no_cars
